Ticker,Field,Value,End Date,Scrape Date
JNJ,Operating Income,"4,975,000",12/31/2021,03/25/2022
JNJ,Operating Income,"6,666,000",9/30/2021,03/25/2022
JNJ,Operating Income,"6,258,000",6/30/2021,03/25/2022
JNJ,Operating Income,"6,648,000",3/31/2021,03/25/2022
JNJ,Net Income from Continuing Operations,"4,736,000",12/31/2021,03/25/2022
JNJ,Net Income from Continuing Operations,"3,667,000",9/30/2021,03/25/2022
JNJ,Net Income from Continuing Operations,"6,278,000",6/30/2021,03/25/2022
JNJ,Net Income from Continuing Operations,"6,197,000",3/31/2021,03/25/2022
JNJ,Retained Earnings,"123,060,000",12/31/2021,03/25/2022
JNJ,Retained Earnings,"121,092,000",9/30/2021,03/25/2022
JNJ,Retained Earnings,"120,154,000",6/30/2021,03/25/2022
JNJ,Retained Earnings,"116,508,000",3/31/2021,03/25/2022
JNJ,Changes in Cash,"-3,064,000",12/31/2021,03/25/2022
JNJ,Changes in Cash,"3,364,000",9/30/2021,03/25/2022
JNJ,Changes in Cash,"1,616,000",6/30/2021,03/25/2022
JNJ,Changes in Cash,"-1,236,000",3/31/2021,03/25/2022
BRK-B,Net Income from Continuing Operations,"39,898,000",12/31/2021,03/25/2022
BRK-B,Net Income from Continuing Operations,"10,644,000",9/30/2021,03/25/2022
BRK-B,Net Income from Continuing Operations,"28,425,000",6/30/2021,03/25/2022
BRK-B,Net Income from Continuing Operations,"11,840,000",3/31/2021,03/25/2022
BRK-B,Retained Earnings,"534,421,000",12/31/2021,03/25/2022
BRK-B,Retained Earnings,"494,775,000",9/30/2021,03/25/2022
BRK-B,Retained Earnings,"484,431,000",6/30/2021,03/25/2022
BRK-B,Retained Earnings,"456,337,000",3/31/2021,03/25/2022
BRK-B,Changes in Cash,"17,962,000",12/31/2021,03/25/2022
BRK-B,Changes in Cash,"27,795,000",9/30/2021,03/25/2022
BRK-B,Changes in Cash,"-17,605,000",6/30/2021,03/25/2022
BRK-B,Changes in Cash,"12,153,000",3/31/2021,03/25/2022
JPM,Net Income from Continuing Operations,"10,399,000",12/31/2021,03/25/2022
JPM,Net Income from Continuing Operations,"11,687,000",9/30/2021,03/25/2022
JPM,Net Income from Continuing Operations,"11,948,000",6/30/2021,03/25/2022
JPM,Net Income from Continuing Operations,"14,300,000",3/31/2021,03/25/2022
JPM,Retained Earnings,"272,268,000",12/31/2021,03/25/2022
JPM,Retained Earnings,"265,276,000",9/30/2021,03/25/2022
JPM,Retained Earnings,"256,983,000",6/30/2021,03/25/2022
JPM,Retained Earnings,"248,151,000",3/31/2021,03/25/2022
JPM,Changes in Cash,"-17,085,000",12/31/2021,03/25/2022
JPM,Changes in Cash,"58,103,000",9/30/2021,03/25/2022
JPM,Changes in Cash,"-6,715,000",6/30/2021,03/25/2022
JPM,Changes in Cash,"190,430,000",3/31/2021,03/25/2022
MMM,Operating Income,"1,674,000",12/31/2021,03/25/2022
MMM,Operating Income,"1,868,000",9/30/2021,03/25/2022
MMM,Operating Income,"2,051,000",6/30/2021,03/25/2022
MMM,Operating Income,"2,073,000",3/31/2021,03/25/2022
MMM,Net Income from Continuing Operations,"1,340,000",12/31/2021,03/25/2022
MMM,Net Income from Continuing Operations,"1,437,000",9/30/2021,03/25/2022
MMM,Net Income from Continuing Operations,"1,525,000",6/30/2021,03/25/2022
MMM,Net Income from Continuing Operations,"1,627,000",3/31/2021,03/25/2022
MMM,Retained Earnings,"45,821,000",12/31/2021,03/25/2022
MMM,Retained Earnings,"45,361,000",9/30/2021,03/25/2022
MMM,Retained Earnings,"44,824,000",6/30/2021,03/25/2022
MMM,Retained Earnings,"44,255,000",3/31/2021,03/25/2022
MMM,Changes in Cash,"-292,000",12/31/2021,03/25/2022
MMM,Changes in Cash,"186,000",9/30/2021,03/25/2022
MMM,Changes in Cash,"30,000",6/30/2021,03/25/2022
MMM,Changes in Cash,"68,000",3/31/2021,03/25/2022
ABBV,Operating Income,"5,479,000",12/31/2021,03/25/2022
ABBV,Operating Income,"4,696,000",9/30/2021,03/25/2022
ABBV,Operating Income,"4,538,000",6/30/2021,03/25/2022
ABBV,Operating Income,"4,173,000",3/31/2021,03/25/2022
ABBV,Net Income from Continuing Operations,"4,045,000",12/31/2021,03/25/2022
ABBV,Net Income from Continuing Operations,"3,180,000",9/30/2021,03/25/2022
ABBV,Net Income from Continuing Operations,"769,000",6/30/2021,03/25/2022
ABBV,Net Income from Continuing Operations,"3,555,000",3/31/2021,03/25/2022
ABBV,Retained Earnings,"3,127,000",12/31/2021,03/25/2022
ABBV,Retained Earnings,"1,600,000",9/30/2021,03/25/2022
ABBV,Retained Earnings,"740,000",6/30/2021,03/25/2022
ABBV,Retained Earnings,"2,292,000",3/31/2021,03/25/2022
ABBV,Changes in Cash,"-2,408,000",12/31/2021,03/25/2022
ABBV,Changes in Cash,"3,677,000",9/30/2021,03/25/2022
ABBV,Changes in Cash,"-1,236,000",6/30/2021,03/25/2022
ABBV,Changes in Cash,"1,361,000",3/31/2021,03/25/2022
DIS,Operating Income,"2,196,000",12/31/2021,03/25/2022
DIS,Operating Income,"599,000",9/30/2021,03/25/2022
DIS,Operating Income,"1,355,000",6/30/2021,03/25/2022
DIS,Operating Income,"1,446,000",3/31/2021,03/25/2022
DIS,Net Income from Continuing Operations,"1,200,000",12/31/2021,03/25/2022
DIS,Net Income from Continuing Operations,"256,000",9/30/2021,03/25/2022
DIS,Net Income from Continuing Operations,"1,128,000",6/30/2021,03/25/2022
DIS,Net Income from Continuing Operations,"1,122,000",3/31/2021,03/25/2022
DIS,Retained Earnings,"41,547,000",12/31/2021,03/25/2022
DIS,Retained Earnings,"40,429,000",9/30/2021,03/25/2022
DIS,Retained Earnings,"40,311,000",6/30/2021,03/25/2022
DIS,Retained Earnings,"39,365,000",3/31/2021,03/25/2022
DIS,Changes in Cash,"-1,480,000",12/31/2021,03/25/2022
DIS,Changes in Cash,"-65,000",9/30/2021,03/25/2022
DIS,Changes in Cash,"176,000",6/30/2021,03/25/2022
DIS,Changes in Cash,"-1,111,000",3/31/2021,03/25/2022
T,Operating Income,"5,496,000",12/31/2021,03/25/2022
T,Operating Income,"7,270,000",9/30/2021,03/25/2022
T,Operating Income,"7,824,000",6/30/2021,03/25/2022
T,Operating Income,"7,661,000",3/31/2021,03/25/2022
T,Net Income from Continuing Operations,"5,390,000",12/31/2021,03/25/2022
T,Net Income from Continuing Operations,"6,273,000",9/30/2021,03/25/2022
T,Net Income from Continuing Operations,"1,874,000",6/30/2021,03/25/2022
T,Net Income from Continuing Operations,"7,942,000",3/31/2021,03/25/2022
T,Retained Earnings,"42,350,000",12/31/2021,03/25/2022
T,Retained Earnings,"41,091,000",9/30/2021,03/25/2022
T,Retained Earnings,"38,947,000",6/30/2021,03/25/2022
T,Retained Earnings,"41,154,000",3/31/2021,03/25/2022
T,Changes in Cash,"-89,000",12/31/2021,03/25/2022
T,Changes in Cash,"9,429,000",9/30/2021,03/25/2022
